visualize scatter select sum ( grant_amount ) , organisation_id from grants group by organisation_id
visualize bar select t2 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name
visualize pie select acc_regular_season , all_games_percent from basketball_match
visualize bar select product_type_code , min ( product_price ) from products group by product_type_code order by min ( product_price ) desc
visualize bar select job_id , salary from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by salary asc
visualize scatter select count ( * ) , customer_id from accounts group by customer_id
visualize bar select hire_date , avg ( salary ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by avg ( salary ) asc bin hire_date by month
visualize bar select location , avg ( number_of_platforms ) from station group by location
visualize bar select job_id , avg ( employee_id ) from employees where first_name like {value} or first_name like {value} group by job_id order by avg ( employee_id ) desc
visualize bar select allergytype , count ( * ) from allergy_type group by allergytype order by allergytype desc
visualize scatter select account_id , count ( * ) from financial_transactions group by account_id
visualize bar select is_full_time , avg ( employee_id ) from hiring group by is_full_time order by avg ( employee_id ) asc
visualize bar select name , count ( name ) from train group by name
visualize bar select first_name , department_id from employees order by first_name desc
visualize bar select date_to , count ( date_to ) from customer_address_history as t1 join customers as t2 on t1 . customer_id = t2 . customer_id join addresses as t3 on t1 . address_id = t3 . address_id order by count ( date_to ) desc bin date_to by weekday
visualize bar select name , age from driver order by name desc
visualize bar select county , count ( county ) from appellations as t1 join wine as t2 on t1 . appelation = t2 . appelation group by county
visualize bar select email , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
visualize pie select name , id from web_client_accelerator as t1 join accelerator_compatible_browser as t2 on t2 . accelerator_id = t1 . id
visualize bar select t1 . name , t1 . age from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t1 . age > ( select avg ( age ) from person ) order by t1 . age asc
visualize line select order_date , count ( order_date ) from customer_orders as t1 join order_items as t2 on t1 . order_id = t2 . order_id join products as t3 on t2 . product_id = t3 . product_id where t3 . product_price > {value} bin order_date by year
visualize bar select result , count ( result ) from battle where bulgarian_commander != {value} group by result
visualize bar select location , count ( location ) from wrestler group by location order by location asc
visualize bar select t1 . name , t2 . revenue from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by t1 . name asc
visualize bar select services , count ( services ) from station group by local_authority , services order by count ( services ) asc
visualize bar select t1 . name , t1 . price from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by t1 . name asc
visualize pie select name , age from dogs where abandoned_yn = {value}
visualize bar select hire_date , count ( hire_date ) from employees where first_name like {value} or first_name like {value} order by count ( hire_date ) desc bin hire_date by month
visualize bar select purchase_details , count ( purchase_details ) from purchases as t1 join transactions as t2 on t1 . purchase_transaction_id = t2 . transaction_id where t2 . amount_of_transaction > {value} group by purchase_details order by count ( purchase_details ) asc
visualize bar select founder , count ( founder ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder order by count ( founder ) desc
visualize bar select meter_200 , sum ( id ) from swimmer group by meter_200
visualize bar select last_name , manager_id from employees order by manager_id asc
visualize bar select t1 . firstname , t1 . supportrepid from customer as t1 join employee as t2 on t1 . supportrepid = t2 . employeeid
visualize pie select first_name , sum ( salary ) from employees where first_name like {value} group by first_name
visualize bar select hire_date , avg ( department_id ) from employees where first_name like {value} or first_name like {value} order by avg ( department_id ) asc bin hire_date by month
